,word,counts
1222,独创,5
1223,先河,16
1224,Amazing,3
1225,2020,45
1226,北影,63
1227,节年,3
1228,进影院,6
1229,小西天,5
1230,氛围,78
1231,虚构,16
1232,相生,3
1233,放映员,9
1234,冤后,3
1235,放电影,4
1236,中如梦,3
1237,破案,29
1238,救美人,3
1239,梦醒,5
1240,得以,30
1241,昭雪,3
1242,相当,189
1243,当之无愧,41
1244,评分,63
1245,超高,12
1246,毫无,85
1247,明明,45
1248,一定,210
1249,懂得,32
1250,欣赏,66
1251,40,16
1252,三段,6
1253,后人,23
1254,津津乐道,8
1255,穿越,50
1256,之旅,12
1257,套路,98
1258,教课,2
1259,上放,4
1260,男主角,95
1261,字幕,78
1262,夏洛克,3
1263,一下子,17
1264,木有,21
1265,玩服,2
1266,真心,85
1267,屌,51
1268,十二岁,2
1269,本该,8
1270,无忧无虑,4
1271,青春年华,2
1272,喜剧之王,18
1273,不靠,25
1274,言语,8
1275,肢体,28
1276,笑破肚皮,4
1277,智慧,60
1278,无限,62
1279,鬼才,15
1280,BUSTER,3
1281,KEATON,3
1282,史,32
1283,笑匠,35
1284,有点,509
1285,讨厌,59
1286,不懂事,3
1287,玛蒂尔,12
1288,绿色植物,4
1289,埋好,4
1290,相伴,11
1291,属于,84
1292,假期,11
1293,永别,7
1294,惊惶,4
1295,闯入,9
1296,小兽,4
1297,眼神,69
1298,躲闪,4
1299,呼吸,13
1300,呜咽,4
1301,独自,25
1302,面对,67
1303,骨骼,6
1304,拔节,4
1305,生长,10
1306,强迫,4
1307,童年,36
1308,作别,4
1309,幸好,15
1310,睡觉,15
1311,打鼾,4
1312,予,4
1313,命中,10
1314,暖阳,4
1315,熟稔,6
1316,硬朗,6
1317,兼具,11
1318,"""",272
1319,never,17
1320,thought,6
1321,d,9
1322,make,12
1323,笑料,60
1324,仍然,103
1325,美国,214
1326,梅里爱,3
1327,自导自演,18
1328,代表作,36
1329,喜剧效果,22
1330,首次,8
1331,打破,42
1332,界线,5
1333,角色,456
1334,自由,211
1335,进出,12
1336,真实世界,15
1337,幻想力,4
1338,均,19
1339,弥足珍贵,6
1340,好笑,59
1341,令人惊叹,20
1342,不错,490
1343,极其,46
1344,早,48
1345,想必,5
1346,举,8
1347,起来,202
1348,缺少,26
1349,内核,57
1350,能够,98
1351,穿透,4
1352,东西,211
1353,深沉,28
